trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.66, 'e': 0.5849999999999996}",20,0,7.210941067802285,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.66, 'e': 0.5799999999999996}",25,0,-69.98338721083127,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.66, 'e': 0.5749999999999996}",20,0,-62.110489642588924,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.66, 'e': 0.5699999999999996}",30,2,-29.63131420077848,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 0}",1
47,False,"{'a': 0.66, 'e': 0.5649999999999996}",20,0,9.041539761254914,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.66, 'e': 0.5599999999999996}",20,8,-37.67764440514677,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
49,False,"{'a': 0.66, 'e': 0.5549999999999996}",25,0,-22.30583438692787,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.66, 'e': 0.5499999999999996}",20,2,-58.86400143242523,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
51,False,"{'a': 0.66, 'e': 0.5449999999999996}",20,0,-103.22609559452918,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.66, 'e': 0.5399999999999996}",25,6,-75.07919790576587,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 1}",1
53,False,"{'a': 0.66, 'e': 0.5349999999999996}",25,12,-37.78577281224034,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.66, 'e': 0.5299999999999996}",20,0,-37.10885279635385,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.66, 'e': 0.5249999999999996}",25,0,4.979169219352102,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.66, 'e': 0.5199999999999996}",25,0,-134.46916631380697,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.66, 'e': 0.5149999999999996}",25,0,-68.93282073434129,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.66, 'e': 0.5099999999999996}",20,0,-5.7350010707857715,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.66, 'e': 0.5049999999999996}",30,13,-57.31199108174593,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
60,False,"{'a': 0.66, 'e': 0.49999999999999956}",30,11,-38.74482102031549,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
61,False,"{'a': 0.66, 'e': 0.49499999999999955}",30,0,-64.17911640412154,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.66, 'e': 0.48999999999999955}",25,0,-53.23041052424777,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.66, 'e': 0.48499999999999954}",25,19,2.849271124080195,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.66, 'e': 0.47999999999999954}",20,13,-4.803547682114307,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.66, 'e': 0.47499999999999953}",25,13,6.926967946498491,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.66, 'e': 0.46999999999999953}",35,13,1.6240083130930523,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.66, 'e': 0.4649999999999995}",20,0,-0.3174656774886062,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.66, 'e': 0.4599999999999995}",25,0,-60.823361463977044,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.66, 'e': 0.4549999999999995}",30,17,-6.389595786416636,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.66, 'e': 0.4499999999999995}",20,6,-43.120234116140146,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.66, 'e': 0.4449999999999995}",20,0,-3.7880397005325532,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.66, 'e': 0.4399999999999995}",20,7,-3.544350931181727,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.66, 'e': 0.4349999999999995}",25,13,9.720174713493673,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.66, 'e': 0.4299999999999995}",25,0,-10.209375901510803,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.66, 'e': 0.4249999999999995}",25,6,7.535899683491426,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.66, 'e': 0.4199999999999995}",25,0,-70.91321417667908,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
77,False,"{'a': 0.66, 'e': 0.4149999999999995}",25,12,2.169900720775426,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.66, 'e': 0.4099999999999995}",25,11,-70.5987086257014,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.66, 'e': 0.40499999999999947}",20,14,13.567545283421332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.66, 'e': 0.39999999999999947}",30,18,9.808066745206238,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.66, 'e': 0.39499999999999946}",20,0,-56.57053049270875,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.66, 'e': 0.38999999999999946}",20,0,-0.019111044023461643,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.66, 'e': 0.38499999999999945}",25,0,-71.22602989127176,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
84,False,"{'a': 0.66, 'e': 0.37999999999999945}",30,10,-41.477865515503225,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
85,False,"{'a': 0.66, 'e': 0.37499999999999944}",20,0,-8.589748353468588,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.66, 'e': 0.36999999999999944}",20,0,-44.04937197168159,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.66, 'e': 0.36499999999999944}",25,0,-46.330268779341765,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.66, 'e': 0.35999999999999943}",25,17,-9.618959229191816,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.66, 'e': 0.3549999999999994}",20,0,-11.106380322651994,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.66, 'e': 0.3499999999999994}",20,6,-45.548986305649024,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.66, 'e': 0.3449999999999994}",25,2,-17.152941302253012,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.66, 'e': 0.3399999999999994}",20,0,-22.36417814056655,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.66, 'e': 0.3349999999999994}",20,0,-7.042980267261319,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.66, 'e': 0.3299999999999994}",25,8,-39.90338206343343,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.66, 'e': 0.3249999999999994}",20,10,15.515490954476382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.66, 'e': 0.3199999999999994}",20,0,-27.60492054461866,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.66, 'e': 0.3149999999999994}",20,0,-0.8939206192935738,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.66, 'e': 0.3099999999999994}",20,0,3.5823430026984657,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.66, 'e': 0.3049999999999994}",25,9,18.981075798547746,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.66, 'e': 0.2999999999999994}",25,20,8.677367718029805,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.66, 'e': 0.2949999999999994}",20,0,-4.387833196810121,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.66, 'e': 0.28999999999999937}",20,0,-52.20154229684199,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.66, 'e': 0.28499999999999936}",25,1,-29.215640088266166,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.66, 'e': 0.27999999999999936}",30,0,36.917533103106884,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.66, 'e': 0.27499999999999936}",20,0,-4.281673406039397,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.66, 'e': 0.26999999999999935}",25,1,5.146694280769918,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
